City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Krasnoturansk,54.3186,91.5639,-14.8,70,3,2.51,RU,1612066927
La Tuque,47.4334,-72.7824,-5.8,77,44,2.3,CA,1612067051
Padang,-0.9492,100.3543,83.23,67,96,6.49,ID,1612067052
Guanhães,-18.775,-42.9325,62.06,93,76,4.23,BR,1612067052
Gizo Government Station,-8.103,156.8419,86.45,69,50,21.0,SB,1612067052
Dutlwe,-23.9833,23.9,72.16,74,46,8.37,BW,1612067052
Russell,32.3502,-85.1999,48.2,81,75,5.59,US,1612067052
Kapenguria,1.2511,35.0895,54.41,63,46,3.49,KE,1612067052
Deputatsky,69.3,139.9,-25.1,88,100,2.04,RU,1612067052
Atambua,-9.1061,124.8925,76.21,90,100,8.57,ID,1612067053
Province of Trapani,37.8333,12.6667,59.0,82,75,18.41,IT,1612067053
Kahului,20.8947,-156.47,73.4,68,40,14.97,US,1612067053
Waddān,29.1614,16.139,54.99,40,0,4.7,LY,1612067053
Copiapó,-27.3667,-70.3333,62.6,94,90,8.05,CL,1612066767
Puerto Escondido,15.85,-97.0667,76.21,65,0,2.64,MX,1612067053
Rørvik,64.8621,11.2373,30.79,94,74,12.64,NO,1612067053
Cooma,-36.2333,149.1333,78.8,47,90,8.05,AU,1612067053
Qeshm,26.9581,56.2719,68.43,73,0,6.42,IR,1612067054
Mahabalipuram,12.6264,80.1722,80.6,78,40,4.61,IN,1612067054
Saint Paul Harbor,57.79,-152.4072,28.4,59,1,13.8,US,1612066981
Imbituba,-28.24,-48.6703,78.8,89,75,8.05,BR,1612067054
Hasaki,35.7333,140.8333,54.0,30,20,18.41,JP,1612066778
Sioux Lookout,50.1001,-91.917,21.2,86,90,4.61,CA,1612067054
Santa Luzia,-19.7697,-43.8514,71.6,60,0,4.61,BR,1612067054
Yinchuan,38.4681,106.2731,34.5,62,0,10.56,CN,1612067054
Strezhevoy,60.7333,77.5889,-16.6,76,75,15.66,RU,1612067055
Połczyn-Zdrój,53.7642,16.0957,24.01,87,48,1.99,PL,1612067055
Oyotún,-6.8519,-79.3036,78.24,53,43,2.42,PE,1612067055
Barra do Garças,-15.89,-52.2567,72.0,91,98,1.05,BR,1612067055
Comodoro Rivadavia,-45.8667,-67.5,51.8,66,0,3.44,AR,1612066811
Estelle,29.8458,-90.1067,68.0,88,90,12.66,US,1612067055
Half Moon Bay,37.4636,-122.4286,53.6,81,1,6.26,US,1612067055
Los Llanos de Aridane,28.6585,-17.9182,64.4,82,40,11.5,ES,1612067055
Wanaka,-44.7,169.15,72.88,33,35,9.93,NZ,1612067056
Akashi,34.6333,134.9833,48.2,61,75,6.91,JP,1612067056
Morehead,37.2711,-87.1764,41.0,81,90,8.05,US,1612067056
Urusha,54.05,122.9,-20.9,81,89,0.18,RU,1612067056
Terra Santa,-2.1042,-56.4869,75.74,88,71,3.62,BR,1612067056
Nanzhang,31.7765,111.8386,57.7,42,99,4.16,CN,1612067057
Mt. Pleasant,32.7941,-79.8626,54.0,76,90,5.75,US,1612067057
San Lorenzo,-25.3333,-57.5333,78.8,89,90,14.97,PY,1612067057
Goderich,43.7501,-81.7165,10.4,85,100,6.91,CA,1612066976
Brigantine,39.4101,-74.3646,28.0,63,1,6.87,US,1612067057
Ohaeawai,-35.3509,173.8822,73.0,54,2,11.99,NZ,1612067057
Balassagyarmat,48.073,19.2961,33.01,71,100,3.0,HU,1612067057
Mandalgovi,45.7625,106.2708,7.38,79,29,26.55,MN,1612067058
Pitimbu,-7.4706,-34.8086,77.0,88,40,4.61,BR,1612067058
Reconquista,-29.15,-59.65,72.7,84,18,8.99,AR,1612067058
Province of Mantua,45.1667,10.7833,42.01,93,90,6.91,IT,1612067058
Igarka,67.4667,86.5833,-30.15,79,72,10.6,RU,1612067051
Kununurra,-15.7667,128.7333,89.6,79,40,10.36,AU,1612067058
Thunder Bay,48.4001,-89.3168,28.4,74,90,11.5,CA,1612066909
Tuxpan,19.55,-103.4,62.89,77,0,2.53,MX,1612067058
Heihe,50.2441,127.4902,-20.2,63,95,2.24,CN,1612067059
Banepā,27.6298,85.5214,51.8,58,20,2.3,NP,1612067059
Anadyr,64.75,177.4833,-0.4,78,90,29.08,RU,1612067059
Souillac,-20.5167,57.5167,80.6,78,75,8.05,MU,1612067059
Gwanda,-20.9333,29.0,67.73,93,82,5.37,ZW,1612067059
Hambantota,6.1241,81.1185,82.4,83,20,9.22,LK,1612067059
Muros,42.7762,-9.0603,55.0,92,100,15.12,ES,1612066802
Nuuk,64.1835,-51.7216,17.6,73,20,17.27,GL,1612067060
Togur,58.3631,82.8265,-22.0,85,100,8.68,RU,1612067060
Kurisove,46.9695,30.9591,33.8,86,0,11.18,UA,1612067060
Havre-St-Pierre,50.2334,-63.5986,24.8,74,90,11.5,CA,1612067060
Fort Nelson,58.8053,-122.7002,-14.8,76,40,2.71,CA,1612067060
Huarmey,-10.0681,-78.1522,71.94,72,85,5.57,PE,1612067060
Kashgar,39.4547,75.9797,28.4,50,40,6.71,CN,1612067060
Río Hato,8.3833,-80.1667,80.01,97,91,15.75,PA,1612067061
Gorgan,36.8387,54.4348,50.72,48,0,4.45,IR,1612067061
Naze,28.3667,129.4833,64.4,52,75,12.66,JP,1612066929
Mackay,-21.15,149.2,86.0,70,6,18.41,AU,1612067061
Constitución,-35.3333,-72.4167,58.91,92,31,6.85,CL,1612066856
Buala,-8.145,159.5921,85.08,72,100,15.59,SB,1612067061
Bubaque,11.2833,-15.8333,78.51,62,82,10.98,GW,1612066942
Pacific Grove,36.6177,-121.9166,50.0,81,1,4.61,US,1612066961
Progreso,21.2833,-89.6667,71.01,73,20,5.75,MX,1612067061
Port-Cartier,50.0334,-66.8654,21.2,63,48,6.91,CA,1612067062
Yar-Sale,66.8333,70.8333,-16.11,88,100,17.27,RU,1612067062
Skibbereen,51.55,-9.2667,41.0,100,75,14.97,IE,1612067062
Birao,10.2849,22.7882,67.73,22,8,8.97,CF,1612067062
Antofagasta,-23.65,-70.4,66.2,82,20,11.5,CL,1612067046
Pevek,69.7008,170.3133,-33.65,84,4,3.62,RU,1612067062
Manapparai,10.6,78.4167,77.0,78,40,11.5,IN,1612067062
Chui,-33.6971,-53.4616,68.23,92,100,16.55,UY,1612067062
Henties Bay,-22.116,14.2845,66.99,84,53,3.0,NA,1612066811
Dhārchula,29.85,80.5333,58.48,23,0,3.04,IN,1612067063
Amazar,53.858,120.875,-16.29,79,94,0.76,RU,1612067063
Rabo de Peixe,37.8,-25.5833,63.0,88,75,10.36,PT,1612067063
Sansare,14.7472,-90.1125,62.6,82,20,16.11,GT,1612067063
Morozovsk,48.3539,41.8261,34.05,91,89,16.96,RU,1612067063
Falam,22.9167,93.6833,66.24,27,0,0.94,MM,1612067063
Castaños,26.7833,-101.4167,63.25,69,0,1.36,MX,1612067063
La Macarena,2.1837,-73.7849,73.26,69,44,2.13,CO,1612067063
Buraidah,26.326,43.975,42.8,87,0,7.34,SA,1612066774
Troitskoye,52.9821,84.6757,3.74,92,8,9.71,RU,1612067064
Sobolevo,54.4299,31.8996,17.78,97,100,5.5,RU,1612067064
‘Āhuimanu,21.4447,-157.8378,77.0,69,75,10.36,US,1612067064
Menomonie,44.8755,-91.9193,30.0,93,90,10.36,US,1612067064
Esmeraldas,-19.7625,-44.3139,71.6,68,0,3.44,BR,1612067064
Omsukchan,62.5333,155.8,-29.63,82,100,13.02,RU,1612067064
Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.2,47,100,17.9,RU,1612067065
Saurimo,-9.6608,20.3916,64.13,96,100,3.36,AO,1612067065
Rocha,-34.4833,-54.3333,65.39,91,100,14.18,UY,1612067065
Nanortalik,60.1432,-45.2371,27.64,90,100,10.13,GL,1612067065
Cururupu,-1.8283,-44.8683,76.59,88,100,3.38,BR,1612067065
San Jose,37.3394,-121.895,53.6,54,75,3.44,US,1612066922
Aberystwyth,52.4155,-4.0829,30.99,92,94,13.82,GB,1612067066
Kloulklubed,7.0419,134.2556,86.0,62,75,14.97,PW,1612067066
Emba,48.8264,58.1442,14.81,92,0,9.84,KZ,1612067066
Curitibanos,-27.2828,-50.5844,60.48,100,9,1.81,BR,1612067066
Tabou,4.423,-7.3528,77.94,89,2,5.86,CI,1612067066
Suleja,9.1758,7.1808,70.88,22,0,5.12,NG,1612067066
Šibenik,43.7272,15.9058,55.99,82,75,17.27,HR,1612067066
Olafsvik,64.8945,-23.7142,22.95,89,22,16.15,IS,1612066776
Jutaí,-5.1833,-68.9,73.38,97,94,2.19,BR,1612067067
Elverum,60.8819,11.5623,10.99,92,90,1.01,NO,1612067067
Mayumba,-3.432,10.6554,77.25,87,100,1.95,GA,1612067067
Batemans Bay,-35.7167,150.1833,70.0,77,93,1.99,AU,1612067067
Usakos,-22.0,15.6,69.37,60,19,1.52,NA,1612067067
Erenhot,43.6475,111.9767,21.45,91,93,17.81,CN,1612067067
Balagansk,54.0103,103.0544,-28.3,80,23,6.6,RU,1612067067
Krasnosel'kup,65.7,82.4667,-23.94,83,100,16.26,RU,1612067068
Aykhal,66.0,111.5,-30.87,81,100,11.97,RU,1612067068
Tazovsky,67.4667,78.7,-24.2,85,100,18.54,RU,1612067068
Pierre,44.3683,-100.351,26.6,80,90,8.05,US,1612067068
Florianópolis,-27.6146,-48.5012,80.01,89,75,8.05,BR,1612067068
Kilindoni,-7.9139,39.6668,80.69,81,93,13.87,TZ,1612067068
Moville,42.4889,-96.0725,28.4,93,90,21.85,US,1612067068
Santarém,-2.4431,-54.7083,75.2,100,0,3.2,BR,1612067068
Hlubočky,49.6178,17.3944,27.0,88,87,5.77,CZ,1612067069
Palana,59.1167,159.9667,-6.3,91,65,9.6,RU,1612067069
Pūndri,29.75,76.55,56.26,39,0,4.23,IN,1612067069
Yazd,31.8972,54.3675,44.19,52,0,3.78,IR,1612067069
Bilibino,68.0546,166.4372,-27.63,78,0,6.26,RU,1612067069
Mosquera,4.7059,-74.2302,46.4,87,20,3.44,CO,1612067069
Nizhniy Ufaley,55.9153,59.9842,15.39,96,90,3.98,RU,1612067069
Leningradskiy,69.3833,178.4167,-27.11,82,7,4.41,RU,1612067070
Faya,18.3851,42.4509,51.8,71,0,2.1,SA,1612067070
Camaná,-16.6228,-72.7111,69.15,74,83,6.69,PE,1612067070
Zhigansk,66.7697,123.3711,-44.45,75,70,4.83,RU,1612066803
Dingli,35.8614,14.3822,62.6,72,20,17.27,MT,1612067070
Tucker,33.8545,-84.2171,41.0,60,40,4.61,US,1612067070
Neryungri,56.6709,124.6491,-27.81,80,100,2.89,RU,1612067050
Road Town,18.4167,-64.6167,75.99,85,46,21.99,VG,1612067070
Nikolayevsk-on-Amur,53.1406,140.73,-1.16,88,100,7.38,RU,1612067070
Hashtrūd,37.4779,47.0508,19.42,95,50,8.61,IR,1612067071
Honningsvåg,70.9821,25.9704,27.01,96,100,21.47,NO,1612067071
Solnechnyy,50.7214,136.6319,-6.5,86,63,5.68,RU,1612067071
Rincon,32.296,-81.2354,50.0,87,40,6.29,US,1612067071
Nome,64.5011,-165.4064,-18.4,83,1,3.44,US,1612067071
Ahipara,-35.1667,173.1667,67.91,60,19,5.21,NZ,1612066823
Umeå,63.8284,20.2597,10.4,85,90,6.91,SE,1612067071
Lazo,43.3817,133.9014,12.4,79,0,4.32,RU,1612067071
Quthing,-30.4,27.7003,61.29,60,0,1.63,LS,1612067072
Ayan,56.45,138.1667,-5.58,83,100,7.52,RU,1612067072
Csenger,47.8358,22.681,32.0,80,75,3.44,HU,1612067072
Bilma,18.6853,12.9164,60.53,28,0,7.38,NE,1612066841
Bullhead City,35.1478,-114.5683,55.4,88,1,11.5,US,1612067073
Kenai,60.5544,-151.2583,16.0,85,1,3.44,US,1612067073
Kibala,9.1104,18.3463,64.4,52,0,5.01,TD,1612067073
São José do Belmonte,-7.8614,-38.7597,69.96,90,100,7.54,BR,1612067073
Flinders,-34.5833,150.8552,69.01,95,97,1.01,AU,1612067073
Kawhia,-38.0651,174.8183,80.01,39,0,4.0,NZ,1612067073
Borovoy,55.4333,86.0833,-18.4,76,85,2.24,RU,1612067074
Yumen,40.2833,97.2,31.17,64,0,29.66,CN,1612066780
Kamenka,51.3223,42.7678,33.01,94,100,3.0,RU,1612067074
Ushtobe,45.2514,77.9838,18.75,87,60,2.48,KZ,1612067074
Moree,-29.4667,149.85,98.6,22,40,8.05,AU,1612067074
Camacupa,-12.0167,17.4833,59.31,93,98,4.47,AO,1612067074
Magistral'nyy,56.1725,107.4458,-32.48,79,96,1.07,RU,1612067074
Darnah,32.767,22.6367,60.71,58,0,14.05,LY,1612066925
Bac Lieu,9.285,105.7244,85.15,53,78,14.52,VN,1612066993
Arlit,18.7369,7.3853,57.72,29,9,5.64,NE,1612067075
Baculin,7.4525,126.5842,80.92,79,92,11.52,PH,1612067075
Östersund,63.1792,14.6357,5.0,85,90,1.25,SE,1612067075
Brufut,13.3814,-16.7518,66.2,68,0,6.91,GM,1612067075
Wahiawā,21.5028,-158.0236,77.0,78,40,3.44,US,1612067075
Bontang,0.1333,117.5,80.17,82,99,12.59,ID,1612067075
Necochea,-38.5473,-58.7368,59.0,68,43,4.0,AR,1612067076
Pindobaçu,-10.7417,-40.3608,68.72,89,100,3.6,BR,1612066929
Sangar,63.9242,127.4739,-43.26,79,88,5.39,RU,1612067076
San Vicente,-26.6167,-54.1333,67.95,94,23,4.7,AR,1612067076
Wajir,1.7471,40.0573,69.82,78,1,11.95,KE,1612067076
Tambopata,-12.7333,-69.1833,72.18,97,25,2.64,PE,1612067076
Óbidos,-1.9175,-55.5181,74.32,85,9,3.09,BR,1612066809
Whitehorse,60.7161,-135.0538,-5.8,77,90,3.44,CA,1612067076
Batagay-Alyta,67.8006,130.4114,-32.85,80,72,2.19,RU,1612067076
Iralaya,15.0,-83.2333,77.54,83,77,12.17,HN,1612066835
Limbang,4.75,115.0,87.8,62,75,5.75,MY,1612067077
Shemonaīkha,50.6328,81.9056,11.98,92,98,1.83,KZ,1612067077
Kopervik,59.2835,5.3067,32.0,93,75,3.44,NO,1612067077
Belém,-1.4558,-48.5044,77.0,88,75,4.61,BR,1612066787
Jumla,29.2747,82.1838,47.57,31,0,2.15,NP,1612067077
Puerto Suárez,-18.95,-57.8,76.69,71,0,3.51,BO,1612067077
Kut Chap,17.4257,102.5669,84.99,50,0,9.22,TH,1612067077
Margate,51.3813,1.3862,39.0,61,25,1.99,GB,1612067078
Werda,-25.2667,23.2833,75.56,69,100,3.91,BW,1612066928
Mossamedes,-15.1961,12.1522,71.31,79,85,4.97,AO,1612067078
Sarangani,5.4033,125.4636,81.57,74,87,20.92,PH,1612067078
Fortuna,40.5982,-124.1573,53.01,76,90,13.8,US,1612067078
Caravelas,-17.7125,-39.2481,74.82,87,8,4.54,BR,1612067078
Kyra,49.5776,111.9753,7.63,88,100,6.42,RU,1612067078
Bucerías,20.75,-105.3333,69.01,88,1,5.53,MX,1612067078
Riyadh,24.6877,46.7219,48.2,46,0,4.88,SA,1612067069
Stade,53.6,9.4833,18.0,92,90,3.44,DE,1612067079
Guantánamo,20.1444,-75.2092,71.6,73,20,10.36,CU,1612067079
Jijiga,9.35,42.8,57.65,36,3,8.57,ET,1612067079
Maceió,-9.6658,-35.7353,75.2,94,40,2.3,BR,1612067079
Grand Gaube,-20.0064,57.6608,84.0,71,12,10.0,MU,1612067079
Wanning,18.8003,110.3967,73.47,71,53,12.24,CN,1612067079
Sol'-Iletsk,51.1631,54.9918,17.1,96,64,5.77,RU,1612067079
Gerāsh,27.6652,54.1371,50.11,91,0,3.31,IR,1612067079
Cayenne,4.9333,-52.3333,80.6,83,75,11.5,GF,1612066793
Tilichiki,60.4667,166.1,-11.34,90,93,16.71,RU,1612067080
Goba,7.0167,39.9833,44.8,57,43,3.8,ET,1612067080
